syl,start,stop,kssid,audio
0,0.0,0.0927,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
그,0.0927,0.17218,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
녀,0.17218,0.2473,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
의,0.2473,0.41173,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
사,0.41173,0.57461,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
랑,0.57461,0.70654,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
을,0.70654,0.83326,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
얻,0.83326,1.09444,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
기,1.09444,1.20856,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
위,1.20856,1.37623,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
해,1.37623,1.59665,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
0,1.59665,1.64288,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
애,1.64288,1.76991,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
썼,1.76991,2.06911,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
지,2.06911,2.19706,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
만,2.19706,2.50919,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
0,2.50919,2.78858,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
헛,2.78858,2.99798,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
수,2.99798,3.09567,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
고,3.09567,3.20729,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
였,3.20729,3.50541,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
다,3.50541,3.71327,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
0,3.71327,3.97218,1_0001,./data/korean-single-speaker/kss/1/1_0001.wav
