syl,start,stop,kssid,audio
0,0.0,0.25252,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
 거,0.25252,0.37028,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
기,0.37028,0.53782,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
도,0.53782,0.66397,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
착,0.66397,0.92452,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
하,0.92452,1.01447,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
면,1.01447,1.40045,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
0 ,1.40045,1.61058,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
 나,1.61058,1.6761,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
한,1.6761,1.88153,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
테,1.88153,1.95191,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
알,1.95191,2.1342,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
려,2.1342,2.3283,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
줘,2.3283,2.63503,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
0,2.63503,2.66739,1_0006,./data/korean-single-speaker/kss/1/1_0006.wav
