syl,start,stop,kssid,audio
0,0.0,0.0537,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
차,0.0537,0.17482,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
에,0.17482,0.37044,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
0,0.37044,0.39335,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
대,0.39335,0.54314,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
해,0.54314,0.64463,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
0,0.64463,0.67573,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
잘,0.67573,0.91961,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
아,0.91961,1.07637,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
세,1.07637,1.28889,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
요?,1.28889,1.44689,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
0,1.44689,1.68841,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
