char,start,stop,kssid,audio
0,0.0,0.11512,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᄀ,0.11512,0.15064,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᅳ,0.15064,0.189,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᄃ,0.189,0.23866,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᅳ,0.23866,0.31795,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᆯ,0.31795,0.35242,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
으,0.35242,0.46082,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᆫ,0.46082,0.56685,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᄂ,0.56685,0.6109,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᅢ,0.6109,0.72922,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᄀ,0.72922,0.75833,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᅡ,0.75833,0.88472,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᄉ,0.88472,0.93124,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᅵ,0.93124,1.02393,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᄒ,1.02393,1.04027,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᅥ,1.04027,1.15863,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᆷ,1.15863,1.22297,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
에,1.22297,1.30724,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᄄ,1.30724,1.40566,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᅥ,1.40566,1.48307,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᆯ,1.48307,1.51765,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
어,1.51765,1.60766,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᄌ,1.60766,1.66068,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᅧ,1.66068,1.72988,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᆻ,1.72988,1.83943,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᄃ,1.83943,1.85551,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᅡ,1.85551,1.9704,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᄀ,1.9704,2.04968,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᅩ,2.04968,2.21378,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
0,2.21378,2.50921,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
아,2.50921,2.58056,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᆯ,2.58056,2.62461,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᆯ,2.62461,2.68934,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᅧ,2.68934,2.87245,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
와,2.87245,2.97189,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᆻ,2.97189,3.17489,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᄃ,3.17489,3.19174,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
ᅡ,3.19174,3.37835,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
0,3.37835,3.51138,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
