char,start,stop,kssid,audio
0,0.0,0.14298,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᄀ,0.14298,0.17326,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᅳ,0.17326,0.25143,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᆫ,0.25143,0.3011,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᅳ,0.3011,0.39456,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᆫ,0.39456,0.52397,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᄀ,0.52397,0.5717,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᅫ,0.5717,0.66385,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᆫ,0.66385,0.73074,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᄎ,0.73074,0.7928,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᅡ,0.7928,0.86105,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᆭ,0.86105,0.8947,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
으,0.8947,0.94568,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᆫ,0.94568,1.00429,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᄎ,1.00429,1.05658,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᅥ,1.05658,1.12825,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᆨ~,1.12825,1.20548,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
~ᆨ,1.20548,1.24674,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᄒ,1.24674,1.27921,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᅡ,1.27921,1.33187,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᄅ,1.33187,1.35667,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᅧ,1.35667,1.54819,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᆨ,1.54819,1.5778,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᅩ,1.5778,1.73609,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
0,1.73609,2.04869,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
애,2.04869,2.15518,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᆻ,2.15518,2.28461,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᅳ,2.28461,2.3443,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᆫ,2.3443,2.37857,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᅳ,2.37857,2.45163,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᆫ,2.45163,2.53042,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᆨ,2.53042,2.55297,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᅥ,2.55297,2.61609,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᆺ,2.61609,2.68239,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᆨ,2.68239,2.7029,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᅡ,2.7029,2.76329,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᇀ~,2.76329,2.86374,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
~ᇀ,2.86374,2.8825,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
아,2.8825,2.95272,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᆻ,2.95272,3.14772,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᄃ,3.14772,3.1583,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
ᅡ,3.1583,3.4173,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
0,3.4173,3.52653,1_0000,./data/korean-single-speaker/kss/1/1_0000.wav
