syl,start,stop,kssid,audio
0,0.0,0.09288,1_0004,./data/korean-single-speaker/kss/1/1_0004.wav
그,0.09288,0.24152,1_0004,./data/korean-single-speaker/kss/1/1_0004.wav
애,0.24152,0.33564,1_0004,./data/korean-single-speaker/kss/1/1_0004.wav
0,0.33564,0.35846,1_0004,./data/korean-single-speaker/kss/1/1_0004.wav
전,0.35846,0.56929,1_0004,./data/korean-single-speaker/kss/1/1_0004.wav
~ᆫ화,0.56929,0.67854,1_0004,./data/korean-single-speaker/kss/1/1_0004.wav
번,0.67854,0.84911,1_0004,./data/korean-single-speaker/kss/1/1_0004.wav
~ᆫ호,0.84911,0.89335,1_0004,./data/korean-single-speaker/kss/1/1_0004.wav
알,0.89335,1.07737,1_0004,./data/korean-single-speaker/kss/1/1_0004.wav
아?,1.07737,1.27282,1_0004,./data/korean-single-speaker/kss/1/1_0004.wav
0,1.27282,1.332,1_0004,./data/korean-single-speaker/kss/1/1_0004.wav
