syl,start,stop,kssid,audio
0,0.0,0.11512,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
그,0.11512,0.189,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
들,0.189,0.35242,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
은,0.35242,0.56699,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
내,0.56699,0.72922,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
가,0.72922,0.88472,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
시,0.88472,1.02393,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
험,1.02393,1.22297,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
에,1.22297,1.30726,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
떨,1.30726,1.51765,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
어,1.51765,1.60766,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
졌,1.60766,1.83943,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
다,1.83943,1.97051,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
고,1.97051,2.21367,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
0,2.21367,2.50921,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
알,2.50921,2.62461,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
려,2.62461,2.87245,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
왔,2.87245,3.17504,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
다,3.17504,3.37827,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
0,3.37827,3.51138,1_0007,/Users/dev/Projects/korean-ml/data/korean-single-speaker/kss/1/1_0007.wav
