char,start,stop,kssid,audio
0,0.0,0.08071,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᄀ,0.08071,0.12089,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᅳ,0.12089,0.15231,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᄂ,0.15231,0.20956,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᅳ,0.20956,0.30481,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᆫ,0.30481,0.48924,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
0,0.48924,0.75129,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
아,0.75129,0.88808,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᄂ,0.88808,0.94573,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᅢ,0.94573,1.02123,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᄅ,1.02123,1.06647,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᅳ,1.06647,1.15844,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᆯ,1.15844,1.23614,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᄆ,1.23614,1.24294,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᅡ,1.24294,1.39564,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᆭ,1.39564,1.4555,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
이,1.4555,1.5327,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
아,1.5327,1.75352,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᄁ,1.75352,1.78153,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᅵ,1.78153,1.83571,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᆫ,1.83571,1.97293,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᄃ,1.97293,1.98396,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
ᅡ,1.98396,2.1979,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
0,2.1979,2.30753,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
