syl,start,stop,kssid,audio
0,0.0,0.04262,1_0002,./data/korean-single-speaker/kss/1/1_0002.wav
용,0.04262,0.26336,1_0002,./data/korean-single-speaker/kss/1/1_0002.wav
0,0.26336,0.34202,1_0002,./data/korean-single-speaker/kss/1/1_0002.wav
돈,0.34202,0.49675,1_0002,./data/korean-single-speaker/kss/1/1_0002.wav
을,0.49675,0.71494,1_0002,./data/korean-single-speaker/kss/1/1_0002.wav
0,0.71494,0.87711,1_0002,./data/korean-single-speaker/kss/1/1_0002.wav
아,0.87711,0.99477,1_0002,./data/korean-single-speaker/kss/1/1_0002.wav
0,0.99477,1.07471,1_0002,./data/korean-single-speaker/kss/1/1_0002.wav
껴,1.07471,1.21377,1_0002,./data/korean-single-speaker/kss/1/1_0002.wav
써,1.21377,1.45645,1_0002,./data/korean-single-speaker/kss/1/1_0002.wav
라,1.45645,1.66714,1_0002,./data/korean-single-speaker/kss/1/1_0002.wav
0,1.66714,1.75902,1_0002,./data/korean-single-speaker/kss/1/1_0002.wav
