syl,start,stop,audio
0,0.0,0.14298,data/korean-single-speaker/kss/1/1_0000.wav
그,0.14298,0.25143,data/korean-single-speaker/kss/1/1_0000.wav
는,0.25143,0.49473,data/korean-single-speaker/kss/1/1_0000.wav
0,0.49473,0.52397,data/korean-single-speaker/kss/1/1_0000.wav
괜,0.52397,0.71846,data/korean-single-speaker/kss/1/1_0000.wav
0,0.71846,0.73074,data/korean-single-speaker/kss/1/1_0000.wav
찮,0.73074,0.8947,data/korean-single-speaker/kss/1/1_0000.wav
은,0.8947,0.98747,data/korean-single-speaker/kss/1/1_0000.wav
0,0.98747,1.00429,data/korean-single-speaker/kss/1/1_0000.wav
척~,1.00429,1.20548,data/korean-single-speaker/kss/1/1_0000.wav
~ᆨ하,1.20548,1.33187,data/korean-single-speaker/kss/1/1_0000.wav
려,1.33187,1.50828,data/korean-single-speaker/kss/1/1_0000.wav
0,1.50828,1.54819,data/korean-single-speaker/kss/1/1_0000.wav
고,1.54819,1.73609,data/korean-single-speaker/kss/1/1_0000.wav
0,1.73609,2.04869,data/korean-single-speaker/kss/1/1_0000.wav
애,2.04869,2.15518,data/korean-single-speaker/kss/1/1_0000.wav
쓰,2.15518,2.3443,data/korean-single-speaker/kss/1/1_0000.wav
는,2.3443,2.53042,data/korean-single-speaker/kss/1/1_0000.wav
것,2.53042,2.63233,data/korean-single-speaker/kss/1/1_0000.wav
0,2.63233,2.68239,data/korean-single-speaker/kss/1/1_0000.wav
같~,2.68239,2.86374,data/korean-single-speaker/kss/1/1_0000.wav
~ᇀ았,2.86374,3.14772,data/korean-single-speaker/kss/1/1_0000.wav
다,3.14772,3.4173,data/korean-single-speaker/kss/1/1_0000.wav
0,3.4173,3.52653,data/korean-single-speaker/kss/1/1_0000.wav
