char,start,stop,audio
0,0.0,0.08071,data/korean-single-speaker/kss/1/1_0003.wav
ᄀ,0.08071,0.12089,data/korean-single-speaker/kss/1/1_0003.wav
ᅳ,0.12089,0.15231,data/korean-single-speaker/kss/1/1_0003.wav
ᄂ,0.15231,0.20956,data/korean-single-speaker/kss/1/1_0003.wav
ᅳ,0.20956,0.30481,data/korean-single-speaker/kss/1/1_0003.wav
ᆫ,0.30481,0.48924,data/korean-single-speaker/kss/1/1_0003.wav
0,0.48924,0.75129,data/korean-single-speaker/kss/1/1_0003.wav
아,0.75129,0.88808,data/korean-single-speaker/kss/1/1_0003.wav
ᄂ,0.88808,0.94573,data/korean-single-speaker/kss/1/1_0003.wav
ᅢ,0.94573,1.02123,data/korean-single-speaker/kss/1/1_0003.wav
ᄅ,1.02123,1.06647,data/korean-single-speaker/kss/1/1_0003.wav
ᅳ,1.06647,1.15844,data/korean-single-speaker/kss/1/1_0003.wav
ᆯ,1.15844,1.23614,data/korean-single-speaker/kss/1/1_0003.wav
ᄆ,1.23614,1.24294,data/korean-single-speaker/kss/1/1_0003.wav
ᅡ,1.24294,1.39564,data/korean-single-speaker/kss/1/1_0003.wav
ᆭ,1.39564,1.4555,data/korean-single-speaker/kss/1/1_0003.wav
이,1.4555,1.5327,data/korean-single-speaker/kss/1/1_0003.wav
아,1.5327,1.75352,data/korean-single-speaker/kss/1/1_0003.wav
ᄁ,1.75352,1.78153,data/korean-single-speaker/kss/1/1_0003.wav
ᅵ,1.78153,1.83571,data/korean-single-speaker/kss/1/1_0003.wav
ᆫ,1.83571,1.97293,data/korean-single-speaker/kss/1/1_0003.wav
ᄃ,1.97293,1.98396,data/korean-single-speaker/kss/1/1_0003.wav
ᅡ,1.98396,2.1979,data/korean-single-speaker/kss/1/1_0003.wav
0,2.1979,2.30753,data/korean-single-speaker/kss/1/1_0003.wav
