syl,start,stop,audio
0,0.0,0.0537,data/korean-single-speaker/kss/1/1_0005.wav
차,0.0537,0.17482,data/korean-single-speaker/kss/1/1_0005.wav
에,0.17482,0.37044,data/korean-single-speaker/kss/1/1_0005.wav
0,0.37044,0.39335,data/korean-single-speaker/kss/1/1_0005.wav
대,0.39335,0.54314,data/korean-single-speaker/kss/1/1_0005.wav
해,0.54314,0.64463,data/korean-single-speaker/kss/1/1_0005.wav
0,0.64463,0.67573,data/korean-single-speaker/kss/1/1_0005.wav
잘,0.67573,0.91961,data/korean-single-speaker/kss/1/1_0005.wav
아,0.91961,1.07637,data/korean-single-speaker/kss/1/1_0005.wav
세,1.07637,1.28889,data/korean-single-speaker/kss/1/1_0005.wav
요?,1.28889,1.44689,data/korean-single-speaker/kss/1/1_0005.wav
0 ,1.44689,1.68841,data/korean-single-speaker/kss/1/1_0005.wav
