char,start,stop,audio
0,0.0,0.04262,data/korean-single-speaker/kss/1/1_0002.wav
요,0.04262,0.15592,data/korean-single-speaker/kss/1/1_0002.wav
ᆼ,0.15592,0.26336,data/korean-single-speaker/kss/1/1_0002.wav
0,0.26336,0.34202,data/korean-single-speaker/kss/1/1_0002.wav
ᄃ,0.34202,0.35254,data/korean-single-speaker/kss/1/1_0002.wav
ᅩ,0.35254,0.43745,data/korean-single-speaker/kss/1/1_0002.wav
ᆫ,0.43745,0.49675,data/korean-single-speaker/kss/1/1_0002.wav
으,0.49675,0.60145,data/korean-single-speaker/kss/1/1_0002.wav
ᆯ,0.60145,0.71494,data/korean-single-speaker/kss/1/1_0002.wav
0,0.71494,0.87711,data/korean-single-speaker/kss/1/1_0002.wav
아,0.87711,0.99477,data/korean-single-speaker/kss/1/1_0002.wav
0,0.99477,1.07471,data/korean-single-speaker/kss/1/1_0002.wav
ᄁ,1.07471,1.09687,data/korean-single-speaker/kss/1/1_0002.wav
ᅧ,1.09687,1.21377,data/korean-single-speaker/kss/1/1_0002.wav
ᄊ,1.21377,1.34784,data/korean-single-speaker/kss/1/1_0002.wav
ᅥ,1.34784,1.45645,data/korean-single-speaker/kss/1/1_0002.wav
ᄅ,1.45645,1.48269,data/korean-single-speaker/kss/1/1_0002.wav
ᅡ,1.48269,1.66714,data/korean-single-speaker/kss/1/1_0002.wav
0,1.66714,1.75902,data/korean-single-speaker/kss/1/1_0002.wav
